UID,school,eduction_level,education_type,job_title,No_Year_Wor_Experience,YearsWork,work_location,tuition,Blockchain,Cloud_computing,Analytical_reasoning,Artificial_Intelligence,UX_design,Business_analysis,Affiliate_marketing,Sales,Scientific_computing,Video_production,Persuasion,Collaboration,Adaptability,Emotional_Intelligence,Microsoft_Office,Microsoft_Excel,Visual_Basic,Python,R,SQL,Java,Public_Speaking,Cert_Amazon_Web_Services_Essential_Training,Cert_Scrum_Basics,Cert_Time_Management_Fundamentals,Cert_Online_Marketing_Foundations,Cert_Project_Management_Foundations,Cert_Body_Language_for_Leaders,Cert_Excel_Essential_Training,Cert_AWS_Certified_Advanced_Networking,Cert_Programming_Foundations,Cert_Project_Management_Professional,Cert_Git_Essential_Training,Cert_Microsoft_Certified__Azure_Fundamentals,Cert_Developing_Executive_Presence,Cert_Online_Marketing_Foundations.1,Cert_Strategic_Thinking,Count
1,Queen's University,Bachelor's,Theology and religious vocations,Utilities Manager,7,7 years,Yukon,41000,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1
2,University of Waterloo,Master's,"Military Science, leadership and operational art",Program Administration Manager,9,9 years,Quebec,42000,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1
3,Vancouver Island University,Doctoral,Natural resources and conservation,Marine Traffic Regulators,1,1 years,Nova Scotia,68000,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4,"University de Guelph, Campus d'Alfred",Associate,Mechanic and repair technologies/technicians,Computer Programmer,9,9 years,Yukon,20500,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
5,Simon Fraser University,Associate,"Liberal arts and sciences, general studies and humanities",Geoscientist,7,7 years,Manitoba,68500,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1
6,University of Toronto,Associate,Architecture and related services,Corporate Sales Manager,6,6 years,Prince Edward Island,71000,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1
7,Concordia University,Master's,"Communication, journalism and related programs",Medical Radiation Technologist,6,6 years,Quebec,56500,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1
8,Wilfrid Laurier University,Doctoral,Science technologies/technicians,Architecture and Science Manager,8,8 years,Manitoba,52000,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1
9,University of Alberta,Doctoral,"Communication, journalism and related programs",Engineering Manager,10,10 years,Nunavut,52500,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1
10,University of Guelph,Doctoral,History,Financial Manager,9,9 years,Prince Edward Island,32000,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1
11,University of Windsor,Associate,Construction trades,Mathematician,8,8 years,Newfoundland and Labrador,21000,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1
12,Vancouver Institute of Media Arts,Bachelor's,Multidisciplinary/interdisciplinary studies,Actuary,6,6 years,New Brunswick,22000,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1
13,Wilfrid Laurier University,Associate,French language and literature/letters,Interactive Media Developer,6,6 years,Nova Scotia,55500,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1
14,College of the New Caledonia,Doctoral,"Military Science, leadership and operational art",Accommodation Service Manager,10,10 years,Alberta,45000,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1
15,University of Toronto,Associate,Communications technologies/technicians and support services,Terminologist,5,5 years,Newfoundland and Labrador,56000,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
16,Queen's University,Master's,Science technologies/technicians,Home Building and Renovation Manager,4,4 years,New Brunswick,44500,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1
17,McMaster University,Associate,Philosophy and religious studies,Transportation Manager,10,10 years,Nunavut,60500,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1
18,Brock University,Master's,"Agriculture, agriculture operations and related Sciences",Dietitian,10,10 years,Nova Scotia,34000,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1
19,Victoria University,Bachelor's,Engineering technologies and engineering-related fields,Business Development Officer,1,1 years,Quebec,44500,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1
20,Wilfrid Laurier University,Associate,Psychology,Interactive Media Developer,4,4 years,Northwest Territories,76000,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1
21,Vancouver Island University,Associate,Physical Sciences,Information Systems Analyst,6,6 years,Yukon,27500,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1
22,University de Montryal,Master's,Education,Employment Counsellor,9,9 years,Alberta,63500,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
23,University de Sherbrooke,Associate,Library Science,Psychologist,4,4 years,Ontario,57000,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1
24,New Brunswick Bible Institute,Doctoral,Security and protective services,Publiching Manager,8,8 years,Quebec,52000,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1
25,University de Sherbrooke,Associate,"Area, ethnic, cultural, gender, and group studies",Home Building and Renovation Manager,4,4 years,British Columbia,39000,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1
26,Brock University,Bachelor's,Mathematics and statistics,Senior Communication Manager,4,4 years,Alberta,54000,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1
27,York University,Master's,Visual and performing arts,Actuary,7,7 years,Quebec,47500,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1
28,HEC Montryal,Associate,Legal professions and studies,Translator,8,8 years,Northwest Territories,60000,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1
29,University of Guelph,Master's,Health professions and related programs,Engineering Manager,6,6 years,Yukon,57000,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1
30,College of the New Caledonia,Associate,"Communication, journalism and related programs",Senior Service Manager,6,6 years,Saskatchewan,20000,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1
31,University of Windsor,Associate,Military technologies and applied Sciences,Database Analyst,4,4 years,Nova Scotia,74500,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1
32,Niagara College,Bachelor's,Public administration and social service professions,Retail and Wholesale Trade Manager,3,3 years,Yukon,49000,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1
33,Vancouver Institute of Media Arts,Associate,Mathematics and statistics,Educational Counsellor,5,5 years,Alberta,20500,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1
34,College of the New Caledonia,Doctoral,"Agriculture, agriculture operations and related Sciences",Senior Construction Manager,6,6 years,Nunavut,56000,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1
35,University de Montryal,Associate,"Dental, medical and veterinary residency programs",Purchasing Manager,3,3 years,Northwest Territories,54500,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1
36,University de Montryal,Associate,Library Science,Nutritionist,9,9 years,Alberta,46000,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1
37,New Brunswick Bible Institute,Doctoral,Transportation and materials moving,Senior Communication Manager,9,9 years,Nunavut,76000,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1
38,University du Quybec à Rimouski (UQAR),Associate,Education,Civil Engineer,2,2 years,Alberta,42500,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1
39,Cygep de Saint-Laurent,Doctoral,Construction trades,Transportation Manager,5,5 years,British Columbia,60000,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1
40,Victoria University,Bachelor's,"Parks, recreation, leisure and fitness studies",Insurance Manager,5,5 years,Northwest Territories,72500,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1
41,University of Guelph,Bachelor's,"Parks, recreation, leisure and fitness studies",Utilities Manager,9,9 years,British Columbia,58500,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1
42,University de Sherbrooke,Doctoral,Social Sciences,Marketing Manager,10,10 years,Alberta,50500,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1
43,University of Toronto,Doctoral,"Communication, journalism and related programs",Facility Operation and Maintenance Manager,1,1 years,Quebec,73500,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1
44,Huron University College,Doctoral,Legal professions and studies,Accommodation Service Manager,8,8 years,Nunavut,35500,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1
45,Wilfrid Laurier University,Associate,"Aboriginal and foreign languages, literatures and linguistics",Dietitian,5,5 years,Quebec,54500,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1
46,"University de Guelph, Campus d'Alfred",Associate,Security and protective services,Financial Manager,6,6 years,Newfoundland and Labrador,59000,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1
47,Vancouver Institute of Media Arts,Bachelor's,Biological and biomedical Sciences,Terminologist,6,6 years,Alberta,64500,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1
48,Niagara College,Master's,Military technologies and applied Sciences,Engineering Manager,3,3 years,New Brunswick,63500,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
49,University de Montryal,Master's,Construction trades,Geoscientist,10,10 years,Alberta,58000,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1
50,University of Waterloo,Bachelor's,English language and literature/letters,Interactive Media Developer,4,4 years,Alberta,34000,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1
51,University de Sherbrooke,Bachelor's,Military technologies and applied Sciences,Real Estate Agent,7,7 years,Alberta,64000,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1
52,Cygep de Saint-Hyacinthe,Associate,Engineering,Educational Counsellor,7,7 years,Newfoundland and Labrador,58000,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
53,Ryerson University,Associate,Personal and culinary services,Statistician,2,2 years,Ontario,50000,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1
54,York University,Bachelor's,"Dental, medical and veterinary residency programs",Dietitian,5,5 years,Newfoundland and Labrador,49000,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1
55,Brescia University College,Doctoral,"Agriculture, agriculture operations and related Sciences",Economist,4,4 years,Alberta,68000,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1
56,University du Quybec à Rimouski (UQAR),Associate,Architecture and related services,Marketing researcher,6,6 years,New Brunswick,53000,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1
57,Vancouver Institute of Media Arts,Master's,"Area, ethnic, cultural, gender, and group studies",Economic Policy Researcher,1,1 years,Alberta,50500,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1
58,Victoria University,Associate,Mathematics and statistics,Facility Operation and Maintenance Manager,6,6 years,Yukon,40000,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1
59,New Brunswick Bible Institute,Bachelor's,Education,Natural Resources Manager,6,6 years,Quebec,64500,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1
60,Vancouver Institute of Media Arts,Associate,Legal professions and studies,Purchasing Manager,4,4 years,Nova Scotia,32000,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1
61,Vancouver Island University,Master's,Transportation and materials moving,Financial Manager,3,3 years,Alberta,68000,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1
62,University of Guelph,Associate,English language and literature/letters,Purchasing Manager,3,3 years,Prince Edward Island,52000,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1
