UID,school,eduction_level,education_type,job_title,No_Year_Wor_Experience,YearsWork,work_location,tuition,Blockchain,Cloud_computing,Analytical_reasoning,Artificial_Intelligence,UX_design,Business_analysis,Affiliate_marketing,Sales,Scientific_computing,Video_production,Persuasion,Collaboration,Adaptability,Emotional_Intelligence,Microsoft_Office,Microsoft_Excel,Visual_Basic,Python,R,SQL,Java,Public_Speaking,Cert_Amazon_Web_Services_Essential_Training,Cert_Scrum_Basics,Cert_Time_Management_Fundamentals,Cert_Online_Marketing_Foundations,Cert_Project_Management_Foundations,Cert_Body_Language_for_Leaders,Cert_Excel_Essential_Training,Cert_AWS_Certified_Advanced_Networking,Cert_Programming_Foundations,Cert_Project_Management_Professional,Cert_Git_Essential_Training,Cert_Microsoft_Certified__Azure_Fundamentals,Cert_Developing_Executive_Presence,Cert_Online_Marketing_Foundations.1,Cert_Strategic_Thinking,Count,numbersofjob,jobgrowth,salary,salarygrowth
1,Queen's University,Bachelor's,Theology and religious vocations,Utilities Manager,7,7 years,Yukon,41000,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,29300,0.28,93625,17
2,University of Waterloo,Master's,"Military Science, leadership and operational art",Program Administration Manager,9,9 years,Quebec,42000,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,37500,9.96,90325,-5
3,Vancouver Island University,Doctoral,Natural resources and conservation,Marine Traffic Regulators,1,1 years,Nova Scotia,68000,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,51900,18.76,66250,4.68
4,"University de Guelph, Campus d'Alfred",Associate,Mechanic and repair technologies/technicians,Computer Programmer,9,9 years,Yukon,20500,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,98700,9.96,132325,18.76
5,Simon Fraser University,Associate,"Liberal arts and sciences, general studies and humanities",Geoscientist,7,7 years,Manitoba,68500,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,89100,-2.36,62200,5.56
6,University of Toronto,Associate,Architecture and related services,Corporate Sales Manager,6,6 years,Prince Edward Island,71000,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,61500,14.36,43300,2.04
7,Concordia University,Master's,"Communication, journalism and related programs",Medical Radiation Technologist,6,6 years,Quebec,56500,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,20300,2.92,64825,1.16
8,Wilfrid Laurier University,Doctoral,Science technologies/technicians,Architecture and Science Manager,8,8 years,Manitoba,52000,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,54300,8.2,85675,13.48
9,University of Alberta,Doctoral,"Communication, journalism and related programs",Engineering Manager,10,10 years,Nunavut,52500,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,85100,-5,68500,19.64
10,University of Guelph,Doctoral,History,Financial Manager,9,9 years,Prince Edward Island,32000,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,13100,15.24,90475,12.6
